area_v6262_1,starttime_v6262_1,filename_v6262_1
-.1251694,11:06:19,RepRec~01-27-2018_0111.exp
1.199917,11:07:28,RepRec~01-27-2018_0111.exp
1.017683,11:08:54,RepRec~01-27-2018_0111.exp
.8076757,11:10:02,RepRec~01-27-2018_0111.exp
.78879,11:11:24,RepRec~01-27-2018_0111.exp
1.081063,11:12:33,RepRec~01-27-2018_0111.exp
1.158042,11:17:21,RepRec~01-27-2018_0111.exp
1.156541,11:18:49,RepRec~01-27-2018_0111.exp
1.487409,11:19:57,RepRec~01-27-2018_0111.exp
1.488673,11:21:13,RepRec~01-27-2018_0111.exp
1.128126,11:22:43,RepRec~01-27-2018_0111.exp
1.379032,11:23:53,RepRec~01-27-2018_0111.exp
.9626207,11:25:05,RepRec~01-27-2018_0111.exp
1.111332,11:26:16,RepRec~01-27-2018_0111.exp
1.340651,11:27:31,RepRec~01-27-2018_0111.exp
1.716701,11:28:44,RepRec~01-27-2018_0111.exp
1.536345,11:29:54,RepRec~01-27-2018_0111.exp
1.231264,11:31:19,RepRec~01-27-2018_0111.exp
1.235766,11:32:31,RepRec~01-27-2018_0111.exp
1.462858,11:33:50,RepRec~01-27-2018_0111.exp
1.057563,11:35:06,RepRec~01-27-2018_0111.exp
1.398844,11:36:14,RepRec~01-27-2018_0111.exp
1.384679,11:37:27,RepRec~01-27-2018_0111.exp
