area_li_6262_1,starttime_li_6262_1,filename_li_6262_1
-1.43E-02,11:01:50,RepRec~01-30-2018_0039.exp
2.110144,11:02:34,RepRec~01-30-2018_0039.exp
1.636875,11:04:01,RepRec~01-30-2018_0039.exp
1.105266,11:05:24,RepRec~01-30-2018_0039.exp
1.321189,11:06:40,RepRec~01-30-2018_0039.exp
1.609185,11:08:09,RepRec~01-30-2018_0039.exp
1.651809,11:09:19,RepRec~01-30-2018_0039.exp
1.79795,11:10:34,RepRec~01-30-2018_0039.exp
2.250724,11:11:48,RepRec~01-30-2018_0039.exp
2.261544,11:13:05,RepRec~01-30-2018_0039.exp
1.658098,11:14:27,RepRec~01-30-2018_0039.exp
2.254286,11:15:57,RepRec~01-30-2018_0039.exp
1.575532,11:17:11,RepRec~01-30-2018_0039.exp
1.82881,11:18:23,RepRec~01-30-2018_0039.exp
2.09573,11:19:45,RepRec~01-30-2018_0039.exp
2.574565,11:21:00,RepRec~01-30-2018_0039.exp
2.958022,11:22:14,RepRec~01-30-2018_0039.exp
1.688013,11:23:34,RepRec~01-30-2018_0039.exp
0.8682073,11:24:56,RepRec~01-30-2018_0039.exp
2.328525,11:26:13,RepRec~01-30-2018_0039.exp
1.397183,11:27:33,RepRec~01-30-2018_0039.exp
2.007229,11:29:03,RepRec~01-30-2018_0039.exp
1.911193,11:30:30,RepRec~01-30-2018_0039.exp
1.936932,11:32:00,RepRec~01-30-2018_0039.exp
2.105724,11:33:12,RepRec~01-30-2018_0039.exp
3.337794,11:34:39,RepRec~01-30-2018_0039.exp
1.650107,11:35:58,RepRec~01-30-2018_0039.exp
4.714604,11:37:18,RepRec~01-30-2018_0039.exp
1.685789,11:38:48,RepRec~01-30-2018_0039.exp
1.220345,11:39:57,RepRec~01-30-2018_0039.exp
3.890497,11:41:17,RepRec~01-30-2018_0039.exp
