area_li_6262_1,starttime_li_6262_1,filename_li_6262_1
-8.996764E-05,11:39:17,RepRec~02-16-2018_0068.exp
2.185862,11:40:06,RepRec~02-16-2018_0068.exp
1.536211,11:41:18,RepRec~02-16-2018_0068.exp
2.564929,11:42:31,RepRec~02-16-2018_0068.exp
.9779281,11:43:51,RepRec~02-16-2018_0068.exp
2.683727,11:44:56,RepRec~02-16-2018_0068.exp
2.929194,11:46:33,RepRec~02-16-2018_0068.exp
1.188683,11:47:55,RepRec~02-16-2018_0068.exp
2.45973,11:49:08,RepRec~02-16-2018_0068.exp
2.420899,11:50:23,RepRec~02-16-2018_0068.exp
1.176949,11:51:48,RepRec~02-16-2018_0068.exp
1.031633,11:53:00,RepRec~02-16-2018_0068.exp
1.246053,11:54:03,RepRec~02-16-2018_0068.exp
1.999615,11:55:23,RepRec~02-16-2018_0068.exp
2.787932,11:56:36,RepRec~02-16-2018_0068.exp
2.168963,11:58:05,RepRec~02-16-2018_0068.exp
1.476331,11:59:37,RepRec~02-16-2018_0068.exp
1.454075,24:01:00,RepRec~02-16-2018_0068.exp
1.882628,24:02:12,RepRec~02-16-2018_0068.exp
3.478235,24:03:30,RepRec~02-16-2018_0068.exp
.0239867,24:04:52,RepRec~02-16-2018_0068.exp
